T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
2.410	0.030922	0.005670	-4867.536133	3.123115	1.024995	0.028292	0.000003	0.000000
2.524	0.017943	0.003875	-4446.516602	2.878684	0.794213	0.022714	0.000001	0.000000
2.637	0.001502	0.003065	-4110.104004	2.765035	0.670987	0.018883	0.000001	0.000000
2.751	0.004224	0.002440	-3824.954834	2.575764	0.535182	0.014827	0.000000	0.000000
2.864	0.003763	0.002101	-3586.929932	2.545708	0.482130	0.014026	0.000000	0.000000
2.978	0.001910	0.001868	-3380.315674	2.456339	0.415287	0.012215	0.000000	0.000000
3.091	0.002294	0.001745	-3204.604736	2.399983	0.367856	0.010347	0.000000	0.000000
3.205	0.000468	0.001537	-3045.677490	2.298178	0.313828	0.008795	0.000000	0.000000
3.319	0.000612	0.001485	-2902.174316	2.312555	0.296389	0.008351	0.000000	0.000000
3.432	0.000065	0.001385	-2775.676025	2.306535	0.275657	0.007700	0.000000	0.000000
3.546	0.000830	0.001350	-2657.660889	2.220907	0.239460	0.006743	0.000000	0.000000
3.659	0.000469	0.001220	-2550.696777	2.179330	0.216488	0.006142	0.000000	0.000000
3.773	0.000538	0.001214	-2457.014404	2.158350	0.199748	0.005645	0.000000	0.000000
3.886	0.001154	0.001131	-2366.624512	2.139296	0.184936	0.005257	0.000000	0.000000
4.000	0.000496	0.001123	-2282.220459	2.096747	0.167707	0.004768	0.000000	0.000000
